tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,44.49
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,42.83
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,40.92
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,51.54
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,52.43
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,60.64
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,79.13
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,46.38
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,29.94
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,46.05
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,57.05
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,54.32
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,60.43
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,67.43
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,47.29
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,38.83
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,46.75
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,57.80
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,51.06
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,56.31
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,60.97
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,47.33
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,33.34
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,49.10
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,55.23
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,46.54
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,51.15
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,58.10
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,46.92
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,40.15
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,49.70
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,51.86
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,43.21
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,47.10
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,56.54
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,46.38
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,41.85
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,50.66
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,49.09
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",0,41.33
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",0,44.44
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",0,55.25
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,120.72
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",1,110.08
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",1,108.29
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",1,121.93
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",1,105.33
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",1,94.46
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",1,123.86
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,124.98
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",1,115.20
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",1,113.38
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",1,125.84
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",1,113.63
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",1,102.02
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",1,128.06
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,125.86
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",1,117.47
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",1,115.27
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",1,127.38
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",1,118.80
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",1,107.87
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",1,129.88
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",1,125.17
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",1,118.02
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",1,115.53
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",1,127.49
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",1,121.89
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",1,111.82
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",1,130.28
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",1,123.66
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",1,117.45
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",1,114.86
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",1,126.72
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",1,123.60
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",1,114.36
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",1,129.82
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",1,121.73
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",1,116.18
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",1,113.65
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",1,125.43
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",1,124.39
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",1,115.88
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",1,128.85
2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,112.40
2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,110.98
2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,118.14
2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,114.00
