tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,44.08
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,42.99
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,40.27
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,43.51
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,36.96
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,34.24
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,44.12
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,47.92
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,44.12
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,41.55
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,45.04
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,40.52
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,35.50
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,47.43
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,48.41
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,44.32
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,41.81
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,46.07
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,43.03
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,35.14
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,48.58
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,47.78
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,44.14
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,41.74
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,46.77
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,45.65
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,34.34
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,48.96
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,47.11
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,43.84
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,41.68
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,47.35
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,48.99
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,33.67
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,49.29
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,46.71
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,43.53
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,41.73
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,47.90
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,53.28
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,33.23
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,49.83
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,110.44
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,107.81
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,106.77
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,101.64
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,66.10
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,62.67
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,123.49
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,116.65
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,113.42
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,112.65
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,104.93
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,68.73
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,69.40
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,127.35
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,120.14
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,116.20
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,115.10
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,106.46
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",1,69.15
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",1,74.52
