tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,46.68, -3.32
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,42.17, -5.83
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,38.65, -11.35
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,42.93, 5.93
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,34.43, -0.57
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,32.58, 2.58
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,47.16, -1.84
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,47.57, 6.57
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,44.21, -5.79
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,40.40, -8.60
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,45.55, -0.45
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,36.56, -15.44
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,34.74, 6.74
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,49.39, 2.39
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,49.37, 0.37
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,45.09, -4.91
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,41.05, -20.95
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,46.30, 0.30
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,37.58, -1.42
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,36.41, -0.59
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,51.27, 1.27
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,49.90, -11.10
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,45.37, 3.37
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,41.13, 3.13
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,46.74, 8.74
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,38.01, -18.99
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,37.36, -7.64
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,52.38, 0.38
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,50.11, 11.11
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,45.18, 7.18
