tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,47.46
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,43.89
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,41.77
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,42.01
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,33.88
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,59.32
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,122.46
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,50.22
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,46.19
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,43.81
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,40.40
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,33.61
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,57.79
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,132.00
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,51.93
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,47.67
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,45.15
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,38.27
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,32.70
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,55.03
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,139.57
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,52.88
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,48.62
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,45.92
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,36.10
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,31.48
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,52.16
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,145.52
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,53.51
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,49.48
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,46.24
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,34.13
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,30.28
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,49.73
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,150.35
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,54.06
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,50.22
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,45.94
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,32.26
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",0,29.12
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",0,47.02
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",0,154.89
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,123.42
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",1,115.75
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",1,112.49
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",1,107.27
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",1,103.65
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",1,93.23
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",1,124.91
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,125.34
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",1,119.97
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",1,118.00
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",1,108.80
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",1,112.79
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",1,104.71
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",1,129.32
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,124.35
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",1,120.76
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",1,119.58
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",1,108.06
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",1,117.43
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",1,112.63
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",1,130.53
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",1,122.04
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",1,119.55
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",1,118.78
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",1,106.23
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",1,118.75
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",1,116.52
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",1,129.89
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",1,119.37
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",1,105.68
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",1,120.18
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",1,103.01
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",1,116.48
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",1,116.32
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",1,128.20
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",1,117.11
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",1,97.20
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",1,119.24
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",1,100.73
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",1,113.80
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",1,114.56
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",1,126.63
2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,111.93
2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,109.33
2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,116.12
2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,114.79
2,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,82.98
2,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,32.12
2,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,77.54
2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,113.03
2,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,112.07
2,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,118.91
2,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,116.26
2,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,93.89
2,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,46.47
2,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,91.49
2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,110.01
2,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,109.99
2,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,115.90
2,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,113.01
2,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,100.55
2,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,62.00
2,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,101.33
2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,103.63
2,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,104.33
2,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,109.28
2,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,106.28
2,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,102.64
2,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,76.29
2,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,106.30
2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,95.25
2,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,97.92
2,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,100.00
2,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,98.10
2,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,101.47
2,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,87.29
2,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,107.43
2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,85.85
2,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,90.45
2,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,89.57
2,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,88.93
2,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",0,97.93
2,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",0,94.12
2,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",0,105.25
3,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,145.39
3,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,150.96
3,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,143.64
3,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,143.16
3,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,107.44
3,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,100.45
3,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,197.03
3,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,143.68
3,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,156.88
3,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,150.70
3,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,142.78
3,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,114.33
3,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,108.30
3,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,203.91
3,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,137.66
3,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,156.91
3,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,153.02
3,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,136.46
3,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,118.37
3,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,114.02
3,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,200.49
3,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,129.39
3,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,151.42
3,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,150.47
3,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,126.23
3,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,119.99
3,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,118.27
3,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,191.11
3,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,119.35
3,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,137.30
3,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,146.67
3,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,116.25
3,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,117.91
3,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,118.93
3,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,179.38
3,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,110.27
3,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,126.04
3,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,139.32
3,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,106.15
3,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",0,115.04
3,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",0,120.59
3,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",0,167.41
3,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,107.55
3,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",1,106.45
3,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",1,103.24
3,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",1,90.29
3,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",1,83.46
3,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",1,76.69
3,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",1,122.88
3,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,118.41
3,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",1,118.79
3,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",1,110.17
3,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",1,101.78
3,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",1,94.35
3,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",1,86.07
3,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",1,131.64
3,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,124.53
