tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,45.35
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,42.82
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,40.62
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,43.59
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,35.81
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,33.57
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,47.35
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,47.80
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,45.53
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,43.53
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,46.51
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,38.85
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,36.78
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,50.13
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,49.10
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,47.00
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,45.15
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,47.98
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,40.81
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,38.90
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,51.39
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,49.24
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,47.32
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,45.64
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,48.25
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,41.69
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,39.97
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,51.38
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,48.55
