tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,45.22, -4.78
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,43.44, -4.56
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,40.16, -9.84
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,44.48, 7.48
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,31.14, -3.86
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,30.42, 0.42
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,46.63, -2.37
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,45.48, 4.48
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,45.47, -4.53
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,41.65, -7.35
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,46.55, 0.55
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,39.18, -12.82
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,33.60, 5.60
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,50.35, 3.35
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,46.84, -2.16
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,47.94, -2.06
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,42.92, -19.08
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,47.89, 1.89
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,32.43, -6.57
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,33.85, -3.15
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,50.00, 0.00
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,48.29, -12.71
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,49.06, 7.06
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,43.29, 5.29
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,48.83, 10.83
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,39.44, -17.56
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,34.82, -10.18
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,51.95, -0.05
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,50.31, 11.31
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,50.34, 12.34
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,43.43, -6.57
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,49.26, 4.26
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,31.68, -23.32
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,34.96, -0.04
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,52.11, 4.11
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,52.29, 6.29
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,51.11, -7.89
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,42.94, -1.06
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,49.44, 5.44
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,39.32, -1.68
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,34.93, -7.07
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,53.12, -4.88
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,112.37, 19.37
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,109.70, -8.30
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,108.33, 2.33
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,102.97, -3.03
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,73.64, -5.36
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,69.12, 12.12
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,121.35, -15.65
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,116.37, -17.63
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,114.56, 3.56
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,113.17, 13.17
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,106.73, -0.27
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,79.31, -9.69
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,76.71, 8.71
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,124.14, -26.86
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,118.00, -3.00
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,116.42, 7.42
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,114.64, 0.64
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,108.15, 14.15
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",1,82.38, -3.62
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",1,81.98, -2.02
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",1,124.04, -10.96
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,118.22, 32.22
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,116.67, -4.33
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",1,114.44, -3.56
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",1,108.12, 1.12
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",1,83.76, -3.24
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",1,85.59, 5.59
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",1,122.57, -5.43
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,117.56, 9.56
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,115.96, 23.96
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",1,113.30, 7.30
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",1,107.16, -24.84
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",1,84.08, 4.08
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",1,88.07, -16.93
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",1,120.40, 4.40
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,116.35, 3.35
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,114.68, 3.68
