tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,44.00
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,43.19
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,40.58
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,44.79
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,32.38
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,78.44
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,93.76
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,45.59
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,42.50
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,43.81
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,44.57
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,35.80
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,84.06
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,83.24
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,45.33
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,42.71
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,45.07
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,43.67
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,36.13
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,93.77
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,72.12
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,44.82
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,41.61
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,46.64
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,42.02
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,37.08
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,101.04
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,61.52
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,43.31
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,34.25
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,49.67
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,38.69
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,37.04
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,107.38
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,51.39
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,41.86
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,29.40
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,52.53
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,36.01
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",0,36.88
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",0,113.11
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",0,42.80
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,117.42
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",1,102.44
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",1,100.45
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",1,129.06
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",1,92.61
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",1,98.19
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",1,112.24
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,121.30
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",1,108.87
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",1,108.78
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",1,133.34
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",1,100.02
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",1,107.82
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",1,118.20
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,122.45
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",1,111.89
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",1,113.03
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",1,134.42
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",1,104.42
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",1,116.10
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",1,121.07
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",1,121.28
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",1,112.12
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",1,114.26
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",1,133.89
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",1,106.34
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",1,122.49
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",1,121.60
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",1,119.35
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",1,94.92
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",1,118.27
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",1,132.47
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",1,105.39
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",1,124.53
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",1,121.79
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",1,115.36
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",1,79.39
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",1,120.18
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",1,130.12
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",1,103.38
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",1,125.45
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",1,120.24
2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,114.24
2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,110.85
2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,116.83
2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,115.82
2,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,83.82
2,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,29.57
2,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,78.81
2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,116.62
2,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,114.94
2,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,120.00
2,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,119.18
2,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,96.61
2,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,41.48
2,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,93.17
2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,113.57
2,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,113.54
2,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,117.50
2,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,117.21
2,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,104.25
2,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,52.30
2,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,103.26
2,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,106.05
2,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,107.66
2,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,110.49
2,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,110.96
2,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,107.19
2,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,63.49
2,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,108.15
2,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,95.57
2,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,100.83
2,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,99.61
2,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,102.00
2,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,106.04
2,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,73.90
2,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,108.39
2,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,83.54
2,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,92.15
2,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,86.77
2,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,91.19
2,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",0,101.66
2,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",0,81.98
2,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",0,104.95
3,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,154.74
3,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,152.54
3,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,146.90
3,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,141.19
3,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,123.19
3,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,112.52
3,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,168.76
3,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,156.21
3,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,157.65
3,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,153.46
3,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,140.69
3,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,133.96
3,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,123.16
3,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,166.17
3,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,154.05
3,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,158.42
3,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,155.70
3,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,133.68
3,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,141.58
3,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,131.81
3,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,159.66
3,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,148.08
3,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,155.49
3,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,154.00
3,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,120.78
3,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,144.00
3,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,136.12
3,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,149.48
3,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,139.89
3,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,138.04
3,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,152.71
3,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,105.07
3,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,140.34
3,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,133.11
3,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,138.08
3,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,128.80
3,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,115.91
3,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,148.48
3,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,85.31
3,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",0,132.02
3,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",0,125.31
3,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",0,124.48
3,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,110.46
3,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",1,104.82
3,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",1,105.59
3,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",1,96.34
3,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",1,86.62
3,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",1,76.27
3,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",1,125.74
3,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,122.01
3,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",1,117.58
3,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",1,116.22
3,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",1,111.34
3,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",1,97.64
3,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",1,83.59
3,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",1,138.13
3,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,128.45
3,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",1,124.99
3,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",1,121.61
3,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",1,121.90
3,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",1,105.43
3,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",1,88.12
3,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",1,143.34
3,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",1,128.40
3,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",1,126.13
3,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",1,120.97
3,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",1,126.61
3,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",1,108.15
3,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",1,88.20
