tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,42.18, -7.82
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,43.13, -4.87
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,40.70, -9.30
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,46.66, 9.66
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,38.99, 3.99
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,36.20, 6.20
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,44.10, -4.90
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,43.57, 2.57
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,44.28, -5.72
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,41.74, -7.26
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,47.24, 1.24
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,40.76, -11.24
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,39.09, 11.09
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,44.56, -2.44
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,43.51, -5.49
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,44.34, -5.66
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,42.00, -20.00
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,47.29, 1.29
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,41.74, 2.74
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,41.29, 4.29
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,44.12, -5.88
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,42.78, -18.22
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,43.74, 1.74
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,41.67, 3.67
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,46.69, 8.69
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,42.00, -15.00
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,42.80, -2.20
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,43.09, -8.91
