tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,103.043
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,51.0521
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,96.7578
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,146.136
2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,114.808
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,106.839
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,59.1725
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,106.361
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,149.352
2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,113.105
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,109.881
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,55.3336
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,115.826
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,148.612
2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,113.234
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,116.928
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,53.0778
3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,107.044
3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,147.044
2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,107.85
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,106.965
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,40.2982
3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,114.624
3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,139.053
2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,93.0543
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,107.338
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,39.579
3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,97.7926
3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,128.944
2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,76.6581
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,101.458
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,38.2256
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,80.4565
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,113.727
2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,80.171
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,113.636
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,35.0622
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,82.9982
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,112.994
2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,75.4559
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,112.353
