tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,101.531
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,48.0767
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,108.736
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,146.692
2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,109.487
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,107.538
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,52.6661
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,111.752
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,149.647
2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,107.275
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,107.55
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,51.6247
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,123.329
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,150.068
2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,107.925
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,118.265
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,49.5913
3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,111.646
3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,145.191
2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,101.921
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,103.779
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,52.6033
3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,106.102
3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,139.821
2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,92.1754
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,99.0964
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,53.0486
3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,91.275
3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,120.563
2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,74.6321
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,102.131
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,41.0694
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,74.8347
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,113.112
2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,76.4251
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,111.834
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,33.301
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,79.5182
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,114.514
2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,69.641
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,109.843
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,27.0857
3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,81.881
3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,102.449
2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,68.1642
