tollgate_id,time_window,direction,volume,
"1","[2016-10-25 08:00:00,2016-10-25 08:20:00)","1","100.491"
"1","[2016-10-25 08:00:00,2016-10-25 08:20:00)","0","46.539"
"3","[2016-10-25 08:00:00,2016-10-25 08:20:00)","1","103.787"
"3","[2016-10-25 08:00:00,2016-10-25 08:20:00)","0","158.083"
"2","[2016-10-25 08:00:00,2016-10-25 08:20:00)","0","110.622"
"1","[2016-10-25 08:20:00,2016-10-25 08:40:00)","1","104.902"
"1","[2016-10-25 08:20:00,2016-10-25 08:40:00)","0","53.186"
"3","[2016-10-25 08:20:00,2016-10-25 08:40:00)","1","111.189"
"3","[2016-10-25 08:20:00,2016-10-25 08:40:00)","0","159.356"
"2","[2016-10-25 08:20:00,2016-10-25 08:40:00)","0","110.502"
"1","[2016-10-25 08:40:00,2016-10-25 09:00:00)","1","106.76"
"1","[2016-10-25 08:40:00,2016-10-25 09:00:00)","0","51.2268"
"3","[2016-10-25 08:40:00,2016-10-25 09:00:00)","1","123.136"
"3","[2016-10-25 08:40:00,2016-10-25 09:00:00)","0","154.337"
"2","[2016-10-25 08:40:00,2016-10-25 09:00:00)","0","107.021"
"1","[2016-10-25 09:00:00,2016-10-25 09:20:00)","1","111.117"
"1","[2016-10-25 09:00:00,2016-10-25 09:20:00)","0","48.8703"
"3","[2016-10-25 09:00:00,2016-10-25 09:20:00)","1","114.684"
"3","[2016-10-25 09:00:00,2016-10-25 09:20:00)","0","149.798"
"2","[2016-10-25 09:00:00,2016-10-25 09:20:00)","0","103.358"
"1","[2016-10-25 09:20:00,2016-10-25 09:40:00)","1","124.839"
"1","[2016-10-25 09:20:00,2016-10-25 09:40:00)","0","44.0839"
"3","[2016-10-25 09:20:00,2016-10-25 09:40:00)","1","120.355"
"3","[2016-10-25 09:20:00,2016-10-25 09:40:00)","0","141.825"
"2","[2016-10-25 09:20:00,2016-10-25 09:40:00)","0","94.8364"
"1","[2016-10-25 09:40:00,2016-10-25 10:00:00)","1","124.038"
"1","[2016-10-25 09:40:00,2016-10-25 10:00:00)","0","45.0619"
"3","[2016-10-25 09:40:00,2016-10-25 10:00:00)","1","102.812"
"3","[2016-10-25 09:40:00,2016-10-25 10:00:00)","0","125.457"
"2","[2016-10-25 09:40:00,2016-10-25 10:00:00)","0","78.3415"
"1","[2016-10-25 17:00:00,2016-10-25 17:20:00)","1","108.265"
"1","[2016-10-25 17:00:00,2016-10-25 17:20:00)","0","41.9195"
"3","[2016-10-25 17:00:00,2016-10-25 17:20:00)","1","83.1391"
"3","[2016-10-25 17:00:00,2016-10-25 17:20:00)","0","123.829"
"2","[2016-10-25 17:00:00,2016-10-25 17:20:00)","0","79.656"
"1","[2016-10-25 17:20:00,2016-10-25 17:40:00)","1","118.867"
"1","[2016-10-25 17:20:00,2016-10-25 17:40:00)","0","35.9421"
"3","[2016-10-25 17:20:00,2016-10-25 17:40:00)","1","89.4578"
"3","[2016-10-25 17:20:00,2016-10-25 17:40:00)","0","117.592"
"2","[2016-10-25 17:20:00,2016-10-25 17:40:00)","0","72.0078"
"1","[2016-10-25 17:40:00,2016-10-25 18:00:00)","1","125.836"
"1","[2016-10-25 17:40:00,2016-10-25 18:00:00)","0","28.2265"
"3","[2016-10-25 17:40:00,2016-10-25 18:00:00)","1","94.8866"
"3","[2016-10-25 17:40:00,2016-10-25 18:00:00)","0","106.238"
"2","[2016-10-25 17:40:00,2016-10-25 18:00:00)","0","65.3899"
"1","[2016-10-25 18:00:00,2016-10-25 18:20:00)","1","71.7572"
"1","[2016-10-25 18:00:00,2016-10-25 18:20:00)","0","25.9914"
