tollgate_id,time_window,direction,volume,
"1","[2016-10-25 08:00:00,2016-10-25 08:20:00)","1","99.0464"
"1","[2016-10-25 08:00:00,2016-10-25 08:20:00)","0","45.7346"
"3","[2016-10-25 08:00:00,2016-10-25 08:20:00)","1","107.068"
"3","[2016-10-25 08:00:00,2016-10-25 08:20:00)","0","157.244"
"2","[2016-10-25 08:00:00,2016-10-25 08:20:00)","0","113.151"
"1","[2016-10-25 08:20:00,2016-10-25 08:40:00)","1","103.292"
"1","[2016-10-25 08:20:00,2016-10-25 08:40:00)","0","52.3292"
"3","[2016-10-25 08:20:00,2016-10-25 08:40:00)","1","114.953"
"3","[2016-10-25 08:20:00,2016-10-25 08:40:00)","0","158.404"
"2","[2016-10-25 08:20:00,2016-10-25 08:40:00)","0","113.391"
"1","[2016-10-25 08:40:00,2016-10-25 09:00:00)","1","104.842"
"1","[2016-10-25 08:40:00,2016-10-25 09:00:00)","0","50.3325"
"3","[2016-10-25 08:40:00,2016-10-25 09:00:00)","1","127.093"
"3","[2016-10-25 08:40:00,2016-10-25 09:00:00)","0","152.788"
"2","[2016-10-25 08:40:00,2016-10-25 09:00:00)","0","109.827"
"1","[2016-10-25 09:00:00,2016-10-25 09:20:00)","1","109.431"
"1","[2016-10-25 09:00:00,2016-10-25 09:20:00)","0","47.9772"
"3","[2016-10-25 09:00:00,2016-10-25 09:20:00)","1","117.954"
"3","[2016-10-25 09:00:00,2016-10-25 09:20:00)","0","149.476"
"2","[2016-10-25 09:00:00,2016-10-25 09:20:00)","0","105.69"
"1","[2016-10-25 09:20:00,2016-10-25 09:40:00)","1","125.273"
"1","[2016-10-25 09:20:00,2016-10-25 09:40:00)","0","42.691"
"3","[2016-10-25 09:20:00,2016-10-25 09:40:00)","1","120.03"
"3","[2016-10-25 09:20:00,2016-10-25 09:40:00)","0","139.303"
"2","[2016-10-25 09:20:00,2016-10-25 09:40:00)","0","87.903"
"1","[2016-10-25 09:40:00,2016-10-25 10:00:00)","1","124.533"
"1","[2016-10-25 09:40:00,2016-10-25 10:00:00)","0","43.1369"
"3","[2016-10-25 09:40:00,2016-10-25 10:00:00)","1","104.329"
"3","[2016-10-25 09:40:00,2016-10-25 10:00:00)","0","125.746"
"2","[2016-10-25 09:40:00,2016-10-25 10:00:00)","0","72.6541"
"1","[2016-10-25 17:00:00,2016-10-25 17:20:00)","1","108.983"
"1","[2016-10-25 17:00:00,2016-10-25 17:20:00)","0","40.3967"
"3","[2016-10-25 17:00:00,2016-10-25 17:20:00)","1","86.5985"
"3","[2016-10-25 17:00:00,2016-10-25 17:20:00)","0","121.331"
"2","[2016-10-25 17:00:00,2016-10-25 17:20:00)","0","73.716"
"1","[2016-10-25 17:20:00,2016-10-25 17:40:00)","1","120.317"
"1","[2016-10-25 17:20:00,2016-10-25 17:40:00)","0","34.6968"
"3","[2016-10-25 17:20:00,2016-10-25 17:40:00)","1","91.6774"
"3","[2016-10-25 17:20:00,2016-10-25 17:40:00)","0","116.215"
"2","[2016-10-25 17:20:00,2016-10-25 17:40:00)","0","65.7206"
"1","[2016-10-25 17:40:00,2016-10-25 18:00:00)","1","126.522"
"1","[2016-10-25 17:40:00,2016-10-25 18:00:00)","0","27.2145"
"3","[2016-10-25 17:40:00,2016-10-25 18:00:00)","1","96.4718"
"3","[2016-10-25 17:40:00,2016-10-25 18:00:00)","0","104.399"
"2","[2016-10-25 17:40:00,2016-10-25 18:00:00)","0","62.2979"
"1","[2016-10-25 18:00:00,2016-10-25 18:20:00)","1","72.3122"
"1","[2016-10-25 18:00:00,2016-10-25 18:20:00)","0","24.8201"
"3","[2016-10-25 18:00:00,2016-10-25 18:20:00)","1","76.3344"
"3","[2016-10-25 18:00:00,2016-10-25 18:20:00)","0","88.4764"
"2","[2016-10-25 18:00:00,2016-10-25 18:20:00)","0","54.8318"
"1","[2016-10-25 18:20:00,2016-10-25 18:40:00)","1","83.4891"
"1","[2016-10-25 18:20:00,2016-10-25 18:40:00)","0","23.8303"
