tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,45.94
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,45.49
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,43.65
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,47.00
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,33.82
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,70.43
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,121.08
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,47.89
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,47.57
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,45.75
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,49.14
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,35.98
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,74.52
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,132.96
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,48.65
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,48.41
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,46.68
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,49.99
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,37.42
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,76.69
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,143.97
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,48.47
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,48.29
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,46.69
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,49.82
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,38.18
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,77.25
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,153.92
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,47.59
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,47.47
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,46.02
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,48.90
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,38.43
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,76.38
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,162.69
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,46.27
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,46.18
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,44.91
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,47.48
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",0,38.31
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",0,74.30
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",0,170.15
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,123.58
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",1,113.59
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",1,108.79
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",1,119.19
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",1,96.72
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",1,84.14
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",1,120.23
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,127.53
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",1,117.90
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",1,113.74
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",1,122.35
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",1,102.56
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",1,89.55
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",1,123.32
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,127.55
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",1,119.09
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",1,115.56
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",1,122.74
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",1,105.71
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",1,93.69
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",1,123.59
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",1,125.62
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",1,118.42
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",1,115.48
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",1,121.38
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",1,107.03
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",1,96.34
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",1,122.11
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",1,122.61
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",1,116.62
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",1,114.21
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",1,118.98
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",1,107.10
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",1,97.82
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",1,119.58
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",1,119.08
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",1,114.19
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",1,112.25
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",1,116.04
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",1,106.38
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",1,98.48
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",1,116.53
2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,109.57
2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,108.79
2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,112.72
2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,109.07
2,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,72.15
2,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,15.07
2,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,67.18
2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,112.85
2,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,111.98
2,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,114.80
2,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,112.21
2,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,81.51
2,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,17.07
2,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,73.86
2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,111.73
