tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,44.41
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,43.35
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,42.25
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,45.16
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,38.55
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,70.16
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,123.36
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,46.32
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,45.37
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,44.34
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,47.49
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,40.65
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,78.03
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,137.07
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,47.44
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,46.31
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,45.22
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,48.23
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,42.38
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,83.09
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,149.81
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,47.99
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,46.53
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,45.26
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,47.91
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,42.98
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,86.38
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,159.65
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,48.08
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,46.24
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,44.68
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,46.80
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,42.62
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,88.07
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,165.85
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,47.85
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,45.60
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,43.72
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,45.22
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",0,41.61
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",0,88.42
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",0,168.76
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,121.33
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",1,113.39
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",1,108.25
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",1,117.26
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",1,96.43
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",1,86.14
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",1,121.22
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,125.11
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",1,117.46
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",1,112.92
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",1,119.43
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",1,101.67
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",1,90.42
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",1,124.20
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,125.44
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",1,118.68
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",1,114.57
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",1,119.37
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",1,104.27
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",1,93.75
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",1,124.87
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",1,124.41
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",1,118.47
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",1,114.71
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",1,118.18
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",1,105.32
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",1,95.80
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",1,124.32
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",1,122.78
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",1,117.53
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",1,114.03
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",1,116.44
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",1,105.44
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",1,96.92
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",1,123.14
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",1,120.93
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",1,116.23
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",1,112.94
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",1,114.48
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",1,105.02
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",1,97.42
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",1,121.68
2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,111.66
2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,109.96
